99;;যুগ্ম সচিব (মেরিন ফিশারিজ একাডেমি এবং বাংলাদেশ মৎস্য উন্নয়ন কর্পোরেশন);0;1;2017-02-05 04:17:18
103;;সি. উপজেলা মৎস্য কর্মকর্তা (নি.বে);0;1;2017-02-05 04:17:18
107;;সি. উপজেলা মৎস্য কর্মকর্তা (অ.দা);0;1;2017-02-05 04:17:18
110;;যুগ্ম সচিব (প্রাণিসম্পদ-১,৩);0;1;2017-02-05 04:17:18
111;;উপসচিব (প্রণিসম্পদ -১);0;1;2017-02-05 04:17:18
112;;উপসচিব (প্রাণিসম্পদ -৩ অধিশাখা);0;1;2017-02-05 04:17:18
113;;সিনিয়র সহকারী সচিব (প্রাণিসম্পদ - ২);0;1;2017-02-05 04:17:18
114;;উপসচিব (প্রাণিসম্পদ - ৪);0;1;2017-02-05 04:17:18
116;;সিনিয়র সহকারী প্রধান (প্রাস পরিঃ - ২);0;1;2017-02-05 04:17:18
117;;সহকারী প্রধান (মৎস্য পরিঃ-১,৩);0;1;2017-02-05 04:17:18
118;;সহকরী প্রধান (মৎস্য পরিঃ-২);0;1;2017-02-05 04:17:18
119;;সহকরী প্রধান (প্রাসঃ পরিঃ ১);0;1;2017-02-05 04:17:18
120;;সহকরী প্রধান (মনিটরিং ১);0;1;2017-02-05 04:17:18
121;;সহকরী প্রধান (মনিটরিং -২);0;1;2017-02-05 04:17:18
122;;প্রধান হিসাবরক্ষণ কর্মকর্তা, মপ্রাম, ঢাকা;0;1;2017-02-05 04:17:18
123;;হিসাবরক্ষণ কর্মকর্তা;0;1;2017-02-05 04:17:18
124;;স্টোর অফিসার;0;1;2017-02-05 04:17:18
125;;প্রকল্প ব্যবস্থাপক ( বি.এম.টি.এফ );0;1;2017-02-05 04:17:18
126;;সহকারী ব্যবস্থাপক (বি.এম.টি.এফ);0;1;2017-02-05 04:17:18
128;;জেলা মৎস্য কর্মকর্তা (অ.দা);0;1;2017-02-05 04:17:18
132;;সহকারী পরিচালক (স্টাফ অফিসার);0;1;2017-02-05 04:17:18
133;;প্রধান বৈজ্ঞানিক কর্মকর্তা (মৎস্য পরিদর্শন ও মাননিয়ন্ত্রন);0;1;2017-02-05 04:17:18
134;;পরিচালক (রিজার্ভ);0;1;2017-02-05 04:17:18
135;;প্রধান বৈজ্ঞানিক কর্মকর্তা (মৎস‌্য জরিপ ও পরিকল্পনা);0;1;2017-02-05 04:17:18
136;;উপপরিচালক (প্রশাসন);0;1;2017-02-05 04:17:18
137;;উপপরিচালক (মৎস্য চাষ);0;1;2017-02-05 04:17:18
138;;উপপরিচালক (রিজার্ভ);0;1;2017-02-05 04:17:18
139;;উপপরিচালক (ফিল্ড সার্ভিস);0;1;2017-02-05 04:17:18
140;;উপপরিচালক (চিংড়ি);0;1;2017-02-05 04:17:18
141;;উপ পরিচালক (অ, দা) এফআইকিউসি;0;1;2017-02-05 04:17:18
142;;উপপরিচালক (চ,দা) অর্থ ও পরিকল্পনা;0;1;2017-02-05 04:17:18
143;;তত্ত্বাবধায়ক প্রকৌশলী (অ,দা);0;1;2017-02-05 04:17:18
